0.282721	3.889610	ref_001
5.302610	10.504900	ref_002
11.837000	14.159600	ref_003
15.803300	25.648400	ref_004
26.889500	31.761400	ref_005
33.049700	37.067700	ref_006
38.583900	41.204100	ref_007
42.883300	47.148500	ref_008
49.298700	51.925900	ref_009
53.867300	58.193500	ref_010
60.026400	63.702700	ref_011
64.945900	69.513900	ref_012
70.857600	75.453300	ref_013
76.781200	80.401700	ref_014
81.940000	84.393100	ref_015
85.994900	89.758800	ref_016
91.547900	95.109100	ref_017
96.944700	100.944000	ref_018
102.419000	106.262000	ref_019
107.652000	110.349000	ref_020
112.117000	115.080000	ref_021
116.584000	120.908000	ref_022
122.594000	125.943000	ref_023
127.434000	131.447000	ref_024
132.783000	136.540000	ref_025
140.950000	141.580000	word_01
142.590000	143.220000	word_02
144.090000	144.700000	word_03
145.630000	146.230000	word_04
147.170000	147.920000	word_05
148.720000	149.320000	word_06
151.650000	152.330000	word_07
153.310000	153.770000	word_08
154.640000	155.230000	word_09
156.160000	156.560000	word_10
157.600000	158.250000	word_11
158.990000	159.740000	word_12
160.440000	161.150000	word_13
161.920000	162.620000	word_14
163.490000	164.080000	word_15
164.830000	165.530000	word_16
166.260000	167.000000	word_17
167.820000	168.530000	word_18
169.410000	170.000000	word_19
170.890000	171.570000	word_20
172.500000	173.080000	word_21
174.110000	174.760000	word_22
175.530000	176.200000	word_23
176.970000	177.690000	word_24
178.460000	179.240000	word_25
180.030000	180.690000	word_26
181.590000	182.290000	word_27
183.090000	183.780000	word_28
184.700000	185.230000	word_29
186.350000	187.130000	word_30
188.050000	188.630000	word_31
189.570000	190.380000	word_32
191.130000	191.910000	word_33
192.760000	193.500000	word_34
194.230000	194.960000	word_35
195.800000	196.550000	word_36
197.440000	198.120000	word_37
200.420000	201.040000	word_38
201.810000	202.560000	word_39
203.570000	204.220000	word_41
207.960000	208.640000	word_42
212.630000	213.320000	word_43
