3.975830	6.995960	ref_001
9.619060	14.162200	ref_002
17.000000	19.694900	ref_003
22.141300	25.821500	ref_004
29.180200	33.819600	ref_005
35.214500	38.685500	ref_006
41.218300	43.882600	ref_007
46.068100	50.367700	ref_008
52.900600	55.551000	ref_009
58.137600	62.183400	ref_010
64.581300	68.135700	ref_011
70.214100	74.297500	ref_012
76.695600	80.713200	ref_013
83.389100	86.669800	ref_014
88.823400	91.344900	ref_015
93.810600	97.743500	ref_016
99.234200	102.813000	ref_017
105.144000	109.246000	ref_018
111.940000	115.934000	ref_019
118.385000	121.267000	ref_020
124.297000	127.148000	ref_021
129.867000	134.096000	ref_022
136.526000	140.434000	ref_023
142.113000	145.570000	ref_024
147.564000	150.808000	ref_025
