0.461042	3.343520	ref_001
4.600980	9.541690	ref_002
10.764100	13.003200	ref_003
13.282900	17.599600	ref_004
18.068600	23.348800	ref_005
24.512600	29.801200	ref_006
30.972000	33.845100	ref_007
34.713900	39.083100	ref_008
39.779500	42.435400	ref_009
43.218600	47.228200	ref_010
48.143300	51.595900	ref_011
53.300400	58.648300	ref_012
60.204500	64.972800	ref_013
66.063500	69.454600	ref_014
70.719600	72.968800	ref_015
74.294300	78.227500	ref_016
79.456700	82.828600	ref_017
83.933600	88.708200	ref_018
90.135100	94.346900	ref_019
95.762100	99.413200	ref_020
99.843900	103.321000	ref_021
104.878000	109.104000	ref_022
110.309000	114.529000	ref_023
115.700000	119.440000	ref_024
119.689000	124.331000	ref_025
